"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1";"1º";"Projeto Gaia";9.02;9.12;1097;"https://ludopedia.com.br/jogo/gaia-project"
"2";"2º";"Gloomhaven";9.02;9.15;807;"https://ludopedia.com.br/jogo/gloomhaven"
"3";"3º";"Terraforming Mars";9.0;9.05;2619;"https://ludopedia.com.br/jogo/terraforming-mars"
"4";"4º";"Terra Mystica";9.0;9.05;2347;"https://ludopedia.com.br/jogo/terra-mystica"
"5";"5º";"Brass: Birmingham";8.98;9.12;779;"https://ludopedia.com.br/jogo/brass-birmingham"
"6";"6º";"Brass: Lancashire";8.97;9.17;528;"https://ludopedia.com.br/jogo/brass-lancashire"
"7";"7º";"Twilight Imperium (Quarta Edição)";8.91;9.14;472;"https://ludopedia.com.br/jogo/twilight-imperium-fourth-edition"
"8";"8º";"Mage Knight: Edição Definitiva";8.89;9.17;385;"https://ludopedia.com.br/jogo/mage-knight-ultimate-edition"
"9";"9º";"Star Wars: Rebellion";8.88;9.02;739;"https://ludopedia.com.br/jogo/star-wars-rebellion"
"10";"10º";"7 Wonders Duel";8.87;8.91;2600;"https://ludopedia.com.br/jogo/7-wonders-duel"
"11";"11º";"Great Western Trail";8.86;8.94;1353;"https://ludopedia.com.br/jogo/great-western-trail"
"12";"12º";"The Castles of Burgundy";8.85;8.91;1753;"https://ludopedia.com.br/jogo/the-castles-of-burgundy"
"13";"13º";"Puerto Rico";8.85;8.88;3113;"https://ludopedia.com.br/jogo/puerto-rico"
"14";"14º";"Clãs da Caledônia";8.84;8.93;1081;"https://ludopedia.com.br/jogo/clans-of-caledonia"
"15";"15º";"O Senhor dos Anéis: Jornadas na Terra Média";8.82;8.96;772;"https://ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth"
"16";"16º";"Twilight Struggle";8.8;8.89;1090;"https://ludopedia.com.br/jogo/twilight-struggle"
"17";"17º";"Wingspan";8.79;8.86;1488;"https://ludopedia.com.br/jogo/wingspan"
"18";"18º";"Lisboa";8.78;8.94;669;"https://ludopedia.com.br/jogo/lisboa"
"19";"19º";"Um Banquete a Odin";8.77;8.9;778;"https://ludopedia.com.br/jogo/a-feast-for-odin"
"20";"20º";"Scythe";8.74;8.8;1597;"https://ludopedia.com.br/jogo/scythe"
"21";"21º";"Guerra do Anel (Segunda Edição)";8.74;8.93;516;"https://ludopedia.com.br/jogo/war-of-the-ring-second-edition"
"22";"22º";"Root";8.73;8.83;999;"https://ludopedia.com.br/jogo/root"
"23";"23º";"Mansions of Madness (2ª Edição)";8.73;8.79;1622;"https://ludopedia.com.br/jogo/mansions-of-madness-second-edition"
"24";"24º";"Five Tribes";8.73;8.79;1651;"https://ludopedia.com.br/jogo/five-tribes"
"25";"25º";"Spirit Island";8.72;8.88;625;"https://ludopedia.com.br/jogo/spirit-island"
"26";"26º";"Through The Ages: Uma Nova História da Civilização";8.72;8.85;757;"https://ludopedia.com.br/jogo/through-the-ages-a-new-story-of-civilization"
"27";"27º";"Pandemic Legacy: 1ª Temporada";8.7;8.85;682;"https://ludopedia.com.br/jogo/pandemic-legacy-season-1"
"28";"28º";"Great Western Trail: 2ª Edição";8.69;9.34;150;"https://ludopedia.com.br/jogo/great-western-trail-second-edition"
"29";"29º";"Mage Knight Board Game";8.67;8.84;595;"https://ludopedia.com.br/jogo/mage-knight-board-game"
"30";"30º";"Brazil: Imperial";8.67;8.85;531;"https://ludopedia.com.br/jogo/brazil-imperial"
"31";"31º";"Barrage";8.65;8.91;379;"https://ludopedia.com.br/jogo/barrage"
"32";"32º";"As Ruínas Perdidas de Arnak";8.65;8.86;472;"https://ludopedia.com.br/jogo/lost-ruins-of-arnak"
"33";"33º";"Clank!: Um Deck Building de Aventura";8.65;8.74;1035;"https://ludopedia.com.br/jogo/clank-a-deck-building-adventure"
"34";"34º";"Azul";8.63;8.66;2804;"https://ludopedia.com.br/jogo/azul"
"35";"35º";"Caverna: The Cave Farmers";8.62;8.74;748;"https://ludopedia.com.br/jogo/caverna-the-cave-farmers"
"36";"36º";"Trajan";8.61;8.72;848;"https://ludopedia.com.br/jogo/trajan"
