"index";"bg_designer"
0;"Matt Leacock"
1;"KlausJrgen Wrede"
2;"Klaus Teuber"
3;"Antoine Bauza"
4;"Donald X Vaccarino"
5;"Jacob Fryxelius"
6;"Alan R Moon"
7;"Vlaada Chvtil"
8;"Bruno Cathala"
9;"Michael Kiesling"
10;"Jamey Stegmaier"
11;"Marc Andr"
12;"Uwe Rosenberg"
13;"Andreas Seyfarth"
15;"Philippe Keyaerts"
16;"Elizabeth Hargrave"
17;"Richard Garfield"
18;"Seiji Kanai"
19;"Friedemann Friese"
20;"JeanLouis Roubira"
22;"Stefan Feld"
23;"Isaac Childres"
24;"Bruno Faidutti"
25;"Thomas Lehmann"
26;"Peter Lee"
26;"Rodney Thompson"
27;"Bernd Brunnhofer"
28;"Rob Daviau"
30;"Steve Jackson I"
31;"Ananda Gupta"
31;"Jason Matthews"
32;"Sbastien Pauchon"
33;"Jens Drgemller"
33;"Helge Ostertag"
35;"Jonathan Gilmour"
35;"Isaac Vega"
36;"Bruce Glassco"
36;"Bill McQuillan"
36;"Mike Selinker"
36;"Teeuwynn Woodruff"
38;"Reiner Knizia"
39;"Rikki Tahta"
40;"Phil WalkerHarding"
41;"Robert Dougherty"
41;"Darwin Kastle"
42;"Eric M Lang"
45;"Alan Stone"
46;"Joanna Kijanka"
46;"Ignacy Trzewiczek"
47;"Don Eskridge"
48;"Richard Launius"
48;"Kevin Wilson"
49;"Oleksandr Nevskiy"
49;"Oleg Sidorenko"
50;"R Eric Reuss"
51;"Cole Wehrle"
53;"Nate French"
53;"MJ Newman"
54;"James A Wilson"
55;"Wizard of Barge"
55;"David Iezzi"
56;"Alexander Pfister"
57;"Wolfgang Warsch"
58;"Paul Dennen"
59;"Simone Luciani"
59;"Daniele Tascini"
60;"Corey Konieczka"
61;"Mac Gerdts"
62;"Gord"
63;"Adrian Adamescu"
63;"Daryl Andrews"
64;"John Yianni"
65;"Nikki Valens"
66;"Albert Lamorisse"
66;"Michael I Levin"
67;"Srgio Halaban"
67;"Andr Zatz"
68;"Uncredited"
69;"Charles Darrow"
69;"Elizabeth J Magie Phillips"
72;"Christian T Petersen"
73;"Dirk Henn"
76;"Thomas Sing"
78;"Gavan Brown"
78;"Matt Tolman"
78;"Martin Wallace"
80;"Bill Eberle"
80;"Jack Kittredge"
80;"Bill Norton"
80;"Peter Olotka"
81;"Masao Suganuma"
82;"WeiHwa Huang"
83;"Alfred Mosher Butts"
85;"Frderic Moyersoen"
86;"Emiliano Sciarra"
88;"Lukas Litzsinger"
89;"Rdiger Dorn"
91;"Christophe Raimbault"
92;"William Attia"
93;"Richard Borg"
96;"Matthew Inman"
96;"Elan Lee"
96;"Shane Small"
97;"Touko Tahkokallio"
98;"Stefan Dorra"
100;"Serge Laget"
101;"Reiner Stockhausen"
102;"Peggy Chassenet"
102;"Manuel Rozoy"
103;"Tom McMurchie"
104;"Josh Dillon"
104;"Daniel Dranove"
104;"Eli Halpern"
104;"Ben Hantoot"
104;"David Munk"
104;"David Pinsof"
104;"Max Temkin"
104;"Eliot Weinstein"
105;"Elwen"
105;"Mn"
106;"Paul Peterson"
107;"Wolfgang Kramer"
107;"Richard Ulrich"
109;"Bernard Tavitian"
110;"Steffen Bogen"
112;"Merle Robbins"
113;"Benoit Turpin"
114;"Ted Alspach"
114;"Akihisa Okui"
115;"Daniel Clark I"
115;"Adam Sadler"
116;"Jason Little"
120;"Thorsten Gimmler"
124;"Julian CourtlandSmith"
125;"S J Macdonald"
125;"Shem Phillips"
126;"Andreas Pelikan"
128;"Rgis Bonnesse"
130;"Mike Boxleiter"
130;"Tommy Maranges"
134;"Kevin Lanzing"
135;"Justin Kemppainen"
135;"Jonathan Ying"
136;"Michael Palm"
136;"Lukas Zach"
137;"Emerson Matsuuchi"
139;"Inka Brand"
139;"Markus Brand"
143;"Devin Low"
144;"Adam Kwapiski"
145;"Sbastien Dujardin"
145;"Xavier Georges"
145;"Alain Orban"
146;"Sebastian Bleasdale"
146;"Richard Breese"
148;"Jordy Adan"
149;"Mat Kotry"
150;"Gnter Cornett"
150;"Alvydas Jakeliunas"
154;"Hjalmar Hach"
156;"Ludovic Roudy"
156;"Bruno Sautter"
157;"Alexandr Ushan"
159;"Ludovic Maublanc"
161;"Michael Schacht"
162;"Chad Jensen"
163;"Raymond Edwards"
163;"Suzanne Goldberg"
163;"Gary Grady"
164;"Tobey Ho"
166;"Sid Sackson"
167;"Karen Seyfarth"
169;"Andreas Steiger"
170;"Andrea Chiarvesio"
170;"Luca Iennaco"
172;"Anthony E Pratt"
174;"David Cicurel"
178;"Shimpei Sato"
179;"Scot Eaton"
183;"Kasper Lapp"
184;"Roberto Fraga"
184;"Yohan Lemonnier"
186;"Matthew Kirby"
186;"Mark Alan Osterhaus"
187;"Laurent Lavaur"
187;"Eric Randall"
188;"Herv Marly"
189;"Jerry Hawthorne"
190;"Scott Almes"
191;"Susan McKinley Ross"
192;"Malcolm Braff"
194;"Dane Beltrami"
195;"Juma AlJouJou"
196;"Jacques Bariot"
196;"Guillaume Montiage"
198;"Raphal Guiton"
198;"JeanBaptiste Lullien"
198;"Nicolas Raoult"
199;"Gatan Beaujannot"
199;"Alain Rivollet"
201;"Keith Matejka"
202;"Michael Menzel"
203;"Michael Boggs"
203;"Caleb Grace"
204;"Michael Rieneck"
204;"Stefan Stadler"
206;"Roberto Di Meglio"
206;"Marco Maggi"
206;"Francesco Nepitello"
207;"Andrew Looney"
207;"Kristin Looney"
208;"Jeroen Doumen"
208;"Joris Wiersinga"
209;"Dan Cassar"
213;"Henry Audubon"
215;"Carl Chudyk"
216;"Helmut Ohley"
216;"Leonhard Lonny Orgler"
217;"Steve Finn"
218;"Thomas DagenaisLesprance"
220;"Stefano Castelli"
220;"Andrea Crespi"
220;"Lorenzo Silva"
222;"Kristian Amundsen stby"
225;"Virginio Gigli"
227;"Christian Martinez"
228;"Chris Cantrell"
228;"Rick Ernst"
228;"Stone Librande"
228;"Prashant Saraswat"
228;"Nathan Tiras"
229;"Jenny Iglesias"
229;"Nick Little I"
229;"Kevin Riley"
231;"Denis Blanchot"
231;"Jacques Cottereau"
231;"Guillaume GilleNaves"
231;"Igor Polouchine"
232;"Manfred Burggraf"
232;"Dorothy Garrels"
