"index";"jogoMiolosArtista"
0;"Alexandr Elichev"
1;"Dennis Lohausen"
2;"Isaac Fryxelius"
4;"Lina Cossette"
6;"Scott Schomburg"
7;"J. Lonnee"
8;"Matt Allsopp"
9;"Miguel Coimbra"
10;"Andreas Resch"
11;"Julien Delval"
12;"Franz Vohwinkel"
13;"Klemens Franz"
14;"Even Mehl Amundsen"
15;"Viktor Csete"
16;"Ana Maria Martinez Jaramillo"
17;"Ian O'Toole"
19;"Jakub Rozalski"
20;"John Howe"
21;"Kyle Ferrin"
22;"Cristi Balanescu"
23;"Clément Masson"
24;"Jason Behnke"
25;"Devir Brasil"
26;"Chris Quilliams"
27;"Alexander Pfister"
29;"Carlos E. Justino"
30;"Antonio De Luca"
31;"Jiří Kůs"
32;"Rayph Beisner"
33;"Philippe Guérin"
35;"Jo Hartwig"
36;"Odysseas Stamoglou"
37;"Beth Sobel"
40;"Aline Kirrmann"
42;"Harald Lieske"
44;"Villő Farkas"
45;"Andrew Bosley"
46;"Marina Fahrenbach"
48;"Milan Vavron"
49;"Steve Ellis (I)"
50;"Antonio Dessi"
51;"Mateusz Bielski"
52;"Eric Belisle"
53;"Michael Menzel"
55;"Galápagos"
58;"Piotr Foksowicz"
61;"Cyrille Daujean"
62;"Fantasy Flight Games"
63;"Martin Hoffmann"
65;"Anders Finer"
66;"Kwanchai Moriya"
67;"Doris Matthäus"
68;"David Cochard"
69;"Adrian Smith"
73;"Chad Jensen"
76;"Anne Pätzke"
79;"Mihajlo Dimitrievski"
80;"Andrea Cofrancesco"
81;"Roland MacDonald"
82;"Kevin Childress"
84;"David Demaret"
86;"Marie Cardouat"
87;"Iris de Haan"
89;"Ossi Hiekkala"
93;"Christopher Hosch"
94;"Arden Beckwith"
95;"Charles Woods"
96;"Josh Cappel"
100;"Diego Sá"
102;"Henning Ludvigsen"
103;"Nicolas Fructus"
104;"Alexandre Roche"
105;"Paolo Chiari"
107;"Peter Dennis"
110;"Chema Román"
112;"Jérémy Masson"
113;"Tomasz Marek Jedruszek"
114;"Fabrizio Fiorentino"
115;"Karl Kopinski"
117;"Piotr Gacek"
120;"Pascal Quidault"
121;"John Romita, Jr."
122;"Juliet Breese"
123;"Duane Nichols"
