"index";"jogoMiolosDesigner"
0;"Isaac Childres"
1;"Jens Drögemüller"
2;"Jacob Fryxelius"
4;"Gavan Brown"
5;"Martin Wallace"
6;"Christian T. Petersen"
7;"Vlaada Chvátil"
8;"Corey Konieczka"
9;"Antoine Bauza"
10;"Alexander Pfister"
11;"Stefan Feld"
12;"Andreas Seyfarth"
13;"Juma Al-JouJou"
14;"Nathan I Hajek"
15;"Ananda Gupta"
16;"Elizabeth Hargrave"
17;"Vital Lacerda"
18;"Uwe Rosenberg"
19;"Jamey Stegmaier"
20;"Roberto Di Meglio"
21;"Cole Wehrle"
22;"Nikki Valens"
23;"Bruno Cathala"
24;"R. Eric Reuss"
26;"Rob Daviau"
29;"José R. Mendes"
30;"Tommaso Battista"
31;"Elwen"
32;"Paul Dennen"
33;"Michael Kiesling"
36;"Daniele Tascini"
37;"Morten Monrad Pedersen"
38;"Simone Luciani"
39;"Alan R. Moon"
42;"Michael Keller (II)"
44;"Dávid Turczi"
45;"James A. Wilson"
46;"Mac Gerdts"
49;"Peter Lee"
50;"Friedemann Friese"
51;"Ignacy Trzewiczek"
53;"Bernd Brunnhofer"
55;"Christian Marcussen"
58;"Krzysztof Piskorski"
62;"Nate French"
63;"Helmut Ohley"
64;"Reiner Stockhausen"
66;"Jonathan Gilmour"
67;"Wolfgang Kramer"
68;"Matúš Kotry"
69;"Eric M. Lang"
70;"Adam Kwapiński"
71;"Thiago Aranha"
72;"Virginio Gigli"
73;"Chad Jensen"
75;"Andreas Steding"
76;"Klaus-Jürgen Wrede"
77;"Inka Brand"
79;"Shem Phillips"
81;"Hervé Lemaître"
83;"Donald X. Vaccarino"
86;"Jean-Louis Roubira"
87;"Jeroen Doumen"
88;"Flaminia Brasini"
89;"Touko Tahkokallio"
95;"Aaron Dill"
96;"Matt Leacock"
100;"Robert Coelho"
101;"Vladimír Suchý"
102;"Daniel Clark"
103;"Raphaël Guiton"
104;"Sébastien Pauchon"
105;"Paolo Chiari"
106;"Marc André"
108;"Carl de Visser"
109;"Rüdiger Dorn"
110;"Israel Cendrero"
114;"Simone Romano"
116;"Xavier Georges"
119;"Richard Amann"
121;"Hjalmar Hach"
122;"Sebastian Bleasdale"
124;"Michał Oracz"
127;"Matthias Cramer"
134;"Steffen Bogen"
136;"Adrian Adamescu"
137;"Sébastien Dujardin"
138;"Reiner Knizia"
142;"Sydney Engelstein"
143;"Thomas Lehmann"
147;"Etienne Espreman"
149;"Pedro Sales"
152;"Klaus Teuber"
155;"Jordy Adan"
156;"Ricardo Amaral"
158;"Jacques Bariot"
160;"J.B. Howell"
162;"William Attia"
164;"Fábio Arraes"
166;"Gord!"
168;"Adam Poots"
170;"Richard Garfield"
171;"Richard Borg"
172;"Hisashi Hayashi"
173;"Don Eskridge"
176;"Glenn Drover"
178;"Peter Hawes"
179;"Nuno Bizarro Sentieiro"
181;"Wolfgang Warsch"
185;"Kasper Aagaard"
186;"Dave Campbell (II)"
187;"Hal Duncan"
189;"Ole Steiness"
190;"Kevin Russ"
192;"Andreas Pelikan"
193;"Daniel Alves"
194;"Julian Courtland-Smith"
195;"Paolo Mori"
197;"John Yianni"
201;"Thelma Löbel"
202;"Przemysław Rymer"
203;"Frank West"
205;"Bianca Melyna"
207;"Emerson Matsuuchi"
208;"Isaias Vallejo"
210;"Thomas Sing"
211;"Scott Almes"
215;"Fabien Riffaud"
217;"Sérgio Halaban"
219;"Rikki Tahta"
220;"Ted Alspach"
221;"Tory Niemann"
227;"Stefano Castelli"
228;"Phil Walker-Harding"
229;"Andrea Chiarvesio"
232;"Stephen Baker"
235;"Eilif Svensson"
236;"Michael C. Alves"
237;"Seiji Kanai"
238;"Bruno Faidutti"
239;"Dirk Henn"
241;"Mike Boxleiter"
243;"Simpei Sato"
245;"Leandro Pires"
249;"Manuel Rozoy"
250;"Jean-Christophe Bouvier"
251;"Alexandre Aboud"
252;"Rodrigo Rego"
253;"Mitra"
255;"Wolfgang Panning"
257;"Cédrick Chaboussit"
258;"Stephen Hand"
262;"Thomas Dagenais-Lespérance"
263;"Jesús Torres Castro"
264;"Robert Dougherty"
265;"Nigel Buckle"
267;"Alex Davy"
270;"John Fiorillo"
271;"Mark K. Swanson"
273;"Prospero Hall"
275;"Samuel Bailey"
277;"Kara Centell-Dunk"
278;"Benjamin Schwer"
280;"Vinicius Szabo"
281;"Chris Darsaklis"
282;"Antoine Morfan"
284;"Adam Spanel"
288;"Jerry Hawthorne"
290;"Brandon Tibbetts"
291;"Warny Marçano"
292;"Alessandro Lala"
293;"Bartosz Pluta"
295;"Galápagos"
299;"Ludovic Roudy"
300;"Brent Povis"
306;"Keith Matejka"
307;"Elan Lee"
308;"Régis Bonnessée"
310;"Patrick Matheus"
311;"Cody Miller"
312;"Asger Harding Granerud"
313;"Diego de Moraes"
316;"Mike Gnade"
317;"David Cicurel"
323;"Kevin Wilson"
326;"Alexander Francisco"
328;"Grzegorz Rejchtman"
330;"Carl Chudyk"
333;"Ryan Laukat"
339;"Laurent Lavaur"
343;"Michael Menzel"
345;"James Kniffen"
346;"Christophe Raimbault"
348;"Tobey Ho"
352;"Gabriele Mari"
354;"Serge Laget"
355;"Giuseppe Cicero"
356;"Colby Dauch"
357;"François Gandon"
360;"Frederic Moyersoen"
365;"Marco Aurélio Tayt-Son"
366;"Patrick Leder"
369;"Trevor Benjamin"
372;"Marcos Macri"
373;"Roberto Fraga"
374;"Igor Knop"
376;"Denis Blanchot"
377;"Benoit Turpin"
381;"Richard Launius"
382;"Oleksandr Nevskiy"
384;"Sandy Petersen"
387;"Wei-Hwa Huang"
389;"Molly Glover"
392;"Kasper Lapp"
393;"Lucas Ribeiro"
395;"Benoit Vogt"
397;"Alexandr Ushan"
399;"Vangelis Bagiartakis"
402;"Gil d'Orey"
406;"James M. Hewitt"
407;"Philippe Keyaerts"
409;"Fel Barros"
410;"Forrest-Pruzan Creative"
412;"André Teruya Eichemberg"
413;"Mike Langlois"
416;"Mike Elliott"
417;"Eric Zimmerman"
419;"Michael Palm"
421;"Andreas Steiger"
422;"Frédéric Henry"
424;"Thorsten Gimmler"
426;"Mikkel Bertelsen"
435;"Lucas Melo"
437;"Raymond Chandler III"
440;"Andrea Barbari"
441;"Guilherme Borges"
443;"Jake Thornton"
446;"Josh Derksen"
447;"Chris Dupuis"
454;"Perepau LListosella"
463;"Jakub Caban"
466;"Mike Selinker"
467;"Tim Eisner"
469;"François Rouzé"
472;"Sanderson Virgolino"
475;"Pedro Ometto"
477;"Harry Wu"
479;"Malcolm Braff"
482;"Michael Rieneck"
484;"Grégory Grard"
485;"Scott Caputo"
488;"Randy Flynn"
489;"Dox Lucchin"
492;"Frédéric Guérard"
495;"Andrew Fischer"
497;"Devin Low"
498;"Ben Cichoski"
503;"Rob Heinsoo"
504;"Naoki Homma"
506;"Grant Rodiek"
507;"Nicolas Robert"
509;"Henry Audubon"
511;"Thiago Mello"
514;"Allison Litchfield"
516;"Maxime Rambourg"
519;"Yoann Levet"
521;"Alain Epron"
522;"Ronald Halliday"
523;"Jon Mietling"
525;"Sheamus Parkes"
529;"Adam P. McIver"
531;"J. Alex Kevern"
532;"Mario Papini"
533;"Marc Paquien"
535;"Steven Aramini"
537;"Chénier La Salle"
539;"Kane Klenko"
540;"Federico Pierlorenzi"
547;"Rustan Håkansson"
548;"Dominic Crapuchettes"
552;"Martin Nedergaard Andersen"
554;"Jonathan Favre-Godal"
555;"Alex Hague"
559;"Kota Nakayama"
563;"Johannes Sich"
564;"Jay Cormier"
566;"Szőgyi Attila"
569;"Felipe Galery"
575;"Molly Johnson"
578;"William W. Connors"
579;"Matthew Inman"
581;"Jeff Chin"
583;"Jason C. Hill"
585;"Christopher Badell"
587;"Lukas Litzsinger"
588;"Sophia Wagner"
589;"Philippe Mouchebeuf"
590;"Etienne Dubois-Roy"
592;"Heinz-Georg Thiemann"
596;"Warleson Oliveira"
597;"Bernard Tavitian"
600;"Andy Clautice"
601;"Christophe Boelinger"
608;"Paul Peterson"
609;"Pierre-Yves Lebeau"
610;"Nicholas Paschalis"
612;"Kalle Malmioja"
615;"Scott Frisco"
617;"Alex Randolph"
621;"Charlie Catino"
623;"Dan Cassar"
624;"Urtis Šulinskas"
627;"Matthew Dunstan"
628;"Gustavo Barreto"
629;"Kevin Lanzing"
631;"Sid Sackson"
633;"Orin Bishop"
634;"Günter Burkhardt"
637;"Luís Brüeh"
639;"(Uncredited)"
640;"Jason Little"
641;"Tom McMurchie"
643;"Jorge Luís Rocha"
650;"Brian Gomez"
652;"Brian Mayer"
655;"Ricardo Spinelli"
656;"Aske Christiansen"
657;"Trey Chambers"
658;"Yves Tourigny"
659;"Kei Kajino"
662;"Seth Jaffee"
664;"Chris Cantrell"
666;"Aaron Weissblum"
667;"Justin Kemppainen"
668;"Ephraim Hertzano"
669;"Samanta Geraldini Talarico"
673;"Stefan Dorra"
674;"Richard James"
675;"Shun Taguchi"
676;"Doug Eckhart"
683;"Thiago Castro"
685;"Rémi Amy"
687;"Luigi Ferrini"
689;"Steve Finn"
691;"Alberto Corral"
692;"Raymond Edwards"
694;"Ryan Courtney"
695;"Gary Dicken"
698;"Koota Yamada"
702;"Edu Reis"
704;"Aureliano Buonfino"
705;"Marco Maggi"
707;"Lorenzo Silva"
708;"Klaus Miltenberger"
712;"Matthieu Berthier"
716;"Gerald Cattiaux"
719;"Nordan Manz"
722;"Gaëtan Beaujannot"
723;"Simon McGregor"
726;"Travis Hancock"
728;"Carlo A. Rossi"
730;"John Goodenough"
733;"藤田 真吾 (Shingo Fujita)"
739;"Ghislain Masson"
740;"Kevin Riley"
741;"Karl Marcelle"
742;"Jose Antonio Abascal Acebo"
743;"Bill Eberle"
744;"Rolf Sagel"
746;"Dominique Ehrhard"
747;"Johnny O'Neal"
751;"Enrico Pesce"
753;"Marcelo Del Debbio"
754;"Karsten Hartwig"
758;"Johan Benvenuto"
764;"Andreas ""ode."" Odendahl"
766;"Jeff Grossman"
767;"Matthew O'Malley"
768;"Ed Carter"
769;"Claude Lucchini"
