"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1";"1º";"Gloomhaven";9.02;9.15;843;"https://ludopedia.com.br/jogo/gloomhaven"
"2";"2º";"Projeto Gaia";9.0;9.1;1129;"https://ludopedia.com.br/jogo/gaia-project"
"3";"3º";"Brass: Birmingham";9.0;9.13;821;"https://ludopedia.com.br/jogo/brass-birmingham"
"4";"4º";"Terra Mystica";9.0;9.04;2363;"https://ludopedia.com.br/jogo/terra-mystica"
"5";"5º";"Terraforming Mars";8.99;9.04;2677;"https://ludopedia.com.br/jogo/terraforming-mars"
"6";"6º";"Brass: Lancashire";8.96;9.16;538;"https://ludopedia.com.br/jogo/brass-lancashire"
"7";"7º";"Twilight Imperium (Quarta Edição)";8.92;9.14;488;"https://ludopedia.com.br/jogo/twilight-imperium-fourth-edition"
"8";"8º";"Mage Knight: Edição Definitiva";8.9;9.16;395;"https://ludopedia.com.br/jogo/mage-knight-ultimate-edition"
"9";"9º";"Star Wars: Rebellion";8.88;9.02;746;"https://ludopedia.com.br/jogo/star-wars-rebellion"
"10";"10º";"7 Wonders Duel";8.87;8.91;2659;"https://ludopedia.com.br/jogo/7-wonders-duel"
"11";"11º";"Great Western Trail";8.86;8.94;1373;"https://ludopedia.com.br/jogo/great-western-trail"
"12";"12º";"Puerto Rico";8.85;8.88;3147;"https://ludopedia.com.br/jogo/puerto-rico"
"13";"13º";"The Castles of Burgundy";8.84;8.9;1780;"https://ludopedia.com.br/jogo/the-castles-of-burgundy"
"14";"14º";"Clãs da Caledônia";8.84;8.93;1092;"https://ludopedia.com.br/jogo/clans-of-caledonia"
"15";"15º";"O Senhor dos Anéis: Jornadas na Terra Média";8.83;8.96;802;"https://ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth"
"16";"16º";"Great Western Trail: 2ª Edição";8.83;9.3;217;"https://ludopedia.com.br/jogo/great-western-trail-second-edition"
"17";"17º";"Gloomhaven: Presas do Leão";8.81;9.38;179;"https://ludopedia.com.br/jogo/gloomhaven-jaws-of-the-lion"
"18";"18º";"Wingspan";8.79;8.86;1541;"https://ludopedia.com.br/jogo/wingspan"
"19";"19º";"Twilight Struggle";8.79;8.88;1098;"https://ludopedia.com.br/jogo/twilight-struggle"
"20";"20º";"Lisboa";8.78;8.92;681;"https://ludopedia.com.br/jogo/lisboa"
