"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1";"1º";"Gloomhaven";9.02;9.16;810;"https://ludopedia.com.br/jogo/gloomhaven"
"2";"2º";"Projeto Gaia";9.01;9.11;1102;"https://ludopedia.com.br/jogo/gaia-project"
"3";"3º";"Terraforming Mars";9.0;9.04;2623;"https://ludopedia.com.br/jogo/terraforming-mars"
"4";"4º";"Terra Mystica";9.0;9.05;2347;"https://ludopedia.com.br/jogo/terra-mystica"
"5";"5º";"Brass: Birmingham";8.99;9.13;783;"https://ludopedia.com.br/jogo/brass-birmingham"
"6";"6º";"Brass: Lancashire";8.97;9.17;528;"https://ludopedia.com.br/jogo/brass-lancashire"
"7";"7º";"Twilight Imperium (Quarta Edição)";8.92;9.14;473;"https://ludopedia.com.br/jogo/twilight-imperium-fourth-edition"
"8";"8º";"Mage Knight: Edição Definitiva";8.89;9.17;385;"https://ludopedia.com.br/jogo/mage-knight-ultimate-edition"
"9";"9º";"Star Wars: Rebellion";8.88;9.02;739;"https://ludopedia.com.br/jogo/star-wars-rebellion"
"10";"10º";"7 Wonders Duel";8.87;8.91;2604;"https://ludopedia.com.br/jogo/7-wonders-duel"
"11";"11º";"Great Western Trail";8.86;8.94;1356;"https://ludopedia.com.br/jogo/great-western-trail"
"12";"12º";"The Castles of Burgundy";8.85;8.91;1753;"https://ludopedia.com.br/jogo/the-castles-of-burgundy"
"13";"13º";"Puerto Rico";8.85;8.88;3119;"https://ludopedia.com.br/jogo/puerto-rico"
"14";"14º";"Clãs da Caledônia";8.84;8.94;1083;"https://ludopedia.com.br/jogo/clans-of-caledonia"
"15";"15º";"O Senhor dos Anéis: Jornadas na Terra Média";8.83;8.96;774;"https://ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth"
"16";"16º";"Twilight Struggle";8.8;8.89;1091;"https://ludopedia.com.br/jogo/twilight-struggle"
"17";"17º";"Wingspan";8.79;8.86;1493;"https://ludopedia.com.br/jogo/wingspan"
"18";"18º";"Lisboa";8.78;8.94;670;"https://ludopedia.com.br/jogo/lisboa"
"19";"19º";"Um Banquete a Odin";8.77;8.9;779;"https://ludopedia.com.br/jogo/a-feast-for-odin"
"20";"20º";"Scythe";8.75;8.81;1601;"https://ludopedia.com.br/jogo/scythe"
"21";"21º";"Guerra do Anel (Segunda Edição)";8.74;8.93;516;"https://ludopedia.com.br/jogo/war-of-the-ring-second-edition"
"22";"22º";"Root";8.73;8.83;1001;"https://ludopedia.com.br/jogo/root"
"23";"23º";"Mansions of Madness (2ª Edição)";8.73;8.79;1623;"https://ludopedia.com.br/jogo/mansions-of-madness-second-edition"
"24";"24º";"Five Tribes";8.73;8.79;1653;"https://ludopedia.com.br/jogo/five-tribes"
"25";"25º";"Spirit Island";8.72;8.88;626;"https://ludopedia.com.br/jogo/spirit-island"
"26";"26º";"Through The Ages: Uma Nova História da Civilização";8.72;8.85;758;"https://ludopedia.com.br/jogo/through-the-ages-a-new-story-of-civilization"
"27";"27º";"Pandemic Legacy: 1ª Temporada";8.7;8.85;682;"https://ludopedia.com.br/jogo/pandemic-legacy-season-1"
"28";"28º";"Great Western Trail: 2ª Edição";8.69;9.33;155;"https://ludopedia.com.br/jogo/great-western-trail-second-edition"
"29";"29º";"Mage Knight Board Game";8.67;8.84;596;"https://ludopedia.com.br/jogo/mage-knight-board-game"
"30";"30º";"Brazil: Imperial";8.66;8.84;534;"https://ludopedia.com.br/jogo/brazil-imperial"
"31";"31º";"Barrage";8.66;8.91;380;"https://ludopedia.com.br/jogo/barrage"
"32";"32º";"As Ruínas Perdidas de Arnak";8.65;8.86;475;"https://ludopedia.com.br/jogo/lost-ruins-of-arnak"
"33";"33º";"Clank!: Um Deck Building de Aventura";8.64;8.74;1036;"https://ludopedia.com.br/jogo/clank-a-deck-building-adventure"
"34";"34º";"Azul";8.63;8.67;2810;"https://ludopedia.com.br/jogo/azul"
"35";"35º";"Caverna: The Cave Farmers";8.62;8.75;750;"https://ludopedia.com.br/jogo/caverna-the-cave-farmers"
"36";"36º";"Trajan";8.61;8.72;849;"https://ludopedia.com.br/jogo/trajan"
"37";"37º";"Teotihuacan: City of Gods";8.59;8.75;594;"https://ludopedia.com.br/jogo/teotihuacan-city-of-gods"
"38";"38º";"Viticulture - Edição Essencial";8.59;8.66;1355;"https://ludopedia.com.br/jogo/viticulture-essential-edition"
"39";"39º";"As Viagens de Marco Polo";8.59;8.66;1333;"https://ludopedia.com.br/jogo/the-voyages-of-marco-polo"
"40";"40º";"Ticket to Ride: Europa";8.58;8.63;2217;"https://ludopedia.com.br/jogo/ticket-to-ride-europe"
"41";"41º";"Maracaibo";8.58;8.8;428;"https://ludopedia.com.br/jogo/maracaibo"
"42";"42º";"Agricola (Edição Revisada)";8.57;8.69;816;"https://ludopedia.com.br/jogo/agricola-revised-edition"
"43";"43º";"La Granja";8.57;8.69;794;"https://ludopedia.com.br/jogo/la-granja"
"44";"44º";"Azul: Pavilhão de Verão";8.56;8.77;449;"https://ludopedia.com.br/jogo/azul-summer-pavilion"
"45";"45º";"Anachrony";8.56;8.83;340;"https://ludopedia.com.br/jogo/anachrony"
"46";"46º";"Everdell";8.56;8.71;599;"https://ludopedia.com.br/jogo/everdell"
"47";"47º";"Concordia";8.56;8.71;596;"https://ludopedia.com.br/jogo/concordia"
"48";"48º";"Mombasa";8.56;8.69;672;"https://ludopedia.com.br/jogo/mombasa"
"49";"49º";"Tzolk'in: O Calendário Maia";8.55;8.65;997;"https://ludopedia.com.br/jogo/tzolk-in-the-mayan-calendar"
"50";"50º";"Tiranos da Umbreterna";8.55;8.73;508;"https://ludopedia.com.br/jogo/tyrants-of-the-underdark"
"51";"51º";"Power Grid";8.55;8.6;1733;"https://ludopedia.com.br/jogo/power-grid"
"52";"52º";"Robinson Crusoé: Aventuras na Ilha Amaldiçoada";8.55;8.63;1170;"https://ludopedia.com.br/jogo/robinson-crusoe-adventures-on-the-cursed-island"
"53";"53º";"Lords of Waterdeep";8.54;8.61;1280;"https://ludopedia.com.br/jogo/lords-of-waterdeep"
"54";"54º";"Stone Age";8.54;8.58;2223;"https://ludopedia.com.br/jogo/stone-age"
"55";"55º";"Tikal";8.53;8.63;943;"https://ludopedia.com.br/jogo/tikal"
"56";"56º";"Clash of Cultures: Monumental Edition";8.53;9.09;165;"https://ludopedia.com.br/jogo/clash-of-cultures-monumental-edition"
"57";"57º";"Marco Polo II: Ao Serviço do Khan";8.53;8.9;243;"https://ludopedia.com.br/jogo/marco-polo-ii-im-auftrag-des-khan"
"58";"58º";"On Mars";8.51;9.07;163;"https://ludopedia.com.br/jogo/on-mars"
"59";"59º";"Tainted Grail: A Queda de Avalon";8.51;9.23;127;"https://ludopedia.com.br/jogo/tainted-grail-the-fall-of-avalon"
"60";"60º";"Agricola";8.5;8.56;1316;"https://ludopedia.com.br/jogo/agricola"
"61";"61º";"7 Wonders";8.49;8.52;3348;"https://ludopedia.com.br/jogo/7-wonders"
"62";"62º";"Ticket to Ride: Europa - 15 Anos";8.49;9.13;142;"https://ludopedia.com.br/jogo/ticket-to-ride-europe-15th-anniversary"
"63";"63º";"Arkham Horror: The Card Game";8.48;8.9;213;"https://ludopedia.com.br/jogo/arkham-horror-the-card-game"
"64";"64º";"Russian Railroads";8.47;8.63;586;"https://ludopedia.com.br/jogo/russian-railroads"
"65";"65º";"Orléans";8.47;8.58;830;"https://ludopedia.com.br/jogo/orleans"
"66";"66º";"Eldritch Horror";8.47;8.5;2594;"https://ludopedia.com.br/jogo/eldritch-horror"
"67";"67º";"Ilha dos Dinossauros";8.47;8.64;512;"https://ludopedia.com.br/jogo/dinosaur-island"
"68";"68º";"El Grande: Big Box";8.46;8.79;273;"https://ludopedia.com.br/jogo/el-grande-big-box"
"69";"69º";"Alquimistas";8.46;8.55;1009;"https://ludopedia.com.br/jogo/alchemists"
"70";"70º";"Rising Sun";8.45;8.56;807;"https://ludopedia.com.br/jogo/rising-sun"
"71";"71º";"Nemesis";8.45;8.68;398;"https://ludopedia.com.br/jogo/nemesis"
"72";"72º";"Arcadia Quest: Inferno";8.45;8.83;230;"https://ludopedia.com.br/jogo/arcadia-quest-inferno"
"73";"73º";"Grand Austria Hotel";8.44;8.57;692;"https://ludopedia.com.br/jogo/grand-austria-hotel"
"74";"74º";"Dominant Species";8.44;8.66;399;"https://ludopedia.com.br/jogo/dominant-species"
"75";"75º";"The Gallerist";8.41;8.54;677;"https://ludopedia.com.br/jogo/the-gallerist"
"76";"76º";"Hansa Teutonica: Big Box";8.41;8.92;175;"https://ludopedia.com.br/jogo/hansa-teutonica-big-box"
"77";"77º";"Carcassonne: Edição do 20° Aniversário";8.39;8.93;164;"https://ludopedia.com.br/jogo/carcassonne-20th-anniversary-edition"
"78";"78º";"Village";8.39;8.48;971;"https://ludopedia.com.br/jogo/village"
"79";"79º";"Ticket to Ride";8.38;8.42;2370;"https://ludopedia.com.br/jogo/ticket-to-ride"
"80";"80º";"Paladinos do Reino Ocidental";8.38;8.62;351;"https://ludopedia.com.br/jogo/paladins-of-the-west-kingdom"
"81";"81º";"Arcadia Quest";8.38;8.46;1094;"https://ludopedia.com.br/jogo/arcadia-quest"
"82";"82º";"Western Legends";8.37;8.6;376;"https://ludopedia.com.br/jogo/western-legends"
