"";"id";"jogoAno";"jogoIdade";"jogoTempJogo";"jogoQtJogadores";"jogoMiolosDesigner";"jogoMiolosArtista";"jogoMiolosEditora";"jogoStatTem";"jogoStatQuer";"jogoStatTeve";"jogoStatFavorito";"jogoResumoTexto"
0;1;"2017";"Idade  14 + ";"150 min";"1 a 4 jogadores ";"Jens Drögemüller";"Dennis Lohausen";"Grok Games";"1566";"1977";"225";"418";"Projeto Gaia é um novo jogo na linha de Terra Mystica. Como no Terra Mystica original, catorze facções diferentes vivem em sete tipos diferentes de planetas, e cada facção é ligada a seus próprios planetas natais. Para desenvolver e crescer, eles devem terraformar planetas vizinhos em seus ambientes domésticos em concorrência com os outros grupos . Além disso, os planetas de Gaia podem ser usados por todas as facções para a colonização, e os planetas transdimensionais podem ser alterados para planetas de Gaia.Todas as facções podem melhorar suas habilidades em seis diferentes áreas de desenvolvimento - Terraformação, Navegação, Inteligência Artificial, Gaiaformação, Economia, Pesquisa - aumentando a tecnologia avançada e conseguindo bônus especiais. Para fazer tudo isso, cada grupo tem habilidades especiais.A área de jogo é feita de dez setores (sete setores em dois jogadores), permitindo uma configuração variável e, portanto, uma rejogabilidade ainda maior do que o seu antecessor Terra Mystica. **************************************************************************Vencedor do Prêmio Ludopedia Jogo Expert do Ano 2018Indicado ao Prêmio Ludopedia Jogo Expert do Ano 2018 - Voto Popular**************************************************************************LUDOSTORER$ 667,05 (no boleto)Comprar  Editora NacionalGrok GamesStatus Nacional Lançado (Agosto/2018)     Dependência de Idioma Nenhuma DomíniosJogos Expert MecânicasConstrução de Rotas, Jogadores com Diferentes Habilidades, Ordem de Fases Variável, Tabuleiro ModularCategoriasJogo Assimétrico TemasFicção Científica, Economia / Produção, Civilização"
0;2;"2017";"Idade  12 + ";"120 min";"1 a 4 jogadores ";"Isaac Childres";"Alexandr Elichev";"Galápagos";"1609";"1729";"141";"394";"Gloomhaven é um jogo de combate tático inspirado em Euros, em um mundo persistente em mudança. Os jogadores assumirão o papel de um aventureiro errante com seu próprio conjunto especial de habilidades e suas próprias razões para viajar para este escuro canto do mundo. Os jogadores têm de trabalhar em conjunto em caso de necessidade para limpar dungeons ameaçadoras e ruínas esquecidas. No processo, eles melhorarão suas habilidades com experiência e pilhagem, descobrindo novos locais para explorar e saquear, e expandindo a história pelas decisões que tomarem.Este é um jogo com um mundo persistente e em mudança jogado ao longo de muitas sessões de jogo. Depois de um cenário, os jogadores vão tomar decisões sobre o que fazer, que determinará como a história continua, como uma espécie de livro ""Escolha sua própria aventura"". Jogando através de um cenário cooperativo onde os jogadores lutarão contra monstros automatizados usando um sistema de carta inovador para determinar a ordem de jogo e o que um jogador faz em sua vez.Essencialmente, em cada rodada, um jogador jogará duas cartas da sua mão. Cada carta tem um número no topo, e o número na primeira carta jogada vai determinar a sua ordem de iniciativa. Cada carta também tem um poder superior e inferior, e quando é a vez de um jogador na ordem de iniciativa, determinará se deve usar o poder superior de uma carta e o poder inferior da outra, ou vice-versa. Os jogadores devem ter cuidado, porém, porque ao longo do tempo eles perderão cartas permanentemente de suas mãos. Se eles levam muito tempo para limpar um calabouço, eles podem acabar exaustos e serem forçados a recuar.LUDOSTORER$ 873,84 (no boleto)Comprar  Editora NacionalGalápagosStatus Nacional Lançado (Maio/2020)     Dependência de Idioma Extenso. Precisa de uma tradução quase completa para ser jogado. DomíniosJogos Expert MecânicasAção Simultânea, Gestão de Mão, Cooperativo, Jogadores com Diferentes Habilidades, Movimento em Grades, Tabuleiro Modular, RPGCategoriasCampanha, Legacy, Miniaturas, Dungeon Crawler TemasAventura, Fantasia, Luta / Artes Marciais"
0;3;"2016";"Idade  12 + ";"120 min";"1 a 5 jogadores ";"Jacob Fryxelius";"Isaac Fryxelius";"Meeple BR Jogos";"4249";"2399";"428";"1133";"Nos anos de 2400, a humanidade começa a terraformar o planeta Marte. Corporações gigantes, patrocinadas pelo Governo Mundial na Terra, iniciam grandes projetos para aumentar a temperatura, o nível de oxigênio e a cobertura do oceano até que o ambiente se torne habitável. Em Terraforming Mars você joga com uma dessas corporações e trabalha em conjunto no processo de terraformação, mas compete para obter pontos de vitória que são concedidos não só pela sua contribuição para a terraformação, mas também pelo avanço da infraestrutura humana ao longo dos sistemas solares, e faz também outras coisas louváveis.Os jogadores adquirem cartas de projeto únicas (existem mais de 200 diferentes) adicionando-as à sua mão. Os projetos (cartas) podem representar qualquer coisa, desde a introdução de plantas ou animais, arremessar asteroides na superfície, construir cidades para a mineração das luas de Júpiter ou estabelecer indústrias de gás com efeito de estufa para aquecer a atmosfera. As cartas podem lhe dar bônus imediatos, bem como aumentar a sua produção de diferentes recursos. Muitas cartas também têm requerimentos e tornam-se jogáveis quando a temperatura, oxigênio ou a cobertura do oceano atingem um certo nível. Comprar cartas é muito caro, então há um equilíbrio entre a compra dessas cartas (3 mega créditos por carta) e realmente jogá-las (que pode custar qualquer coisa entre 0 e 41 mega créditos, dependendo do projeto).Há também projetos padrão que estão sempre disponíveis para complementar suas cartas.Sua renda básica, bem como a sua pontuação básica, são baseadas em sua classificação de terraformação (a partir de 20), que aumenta cada vez que você aumentar um dos parâmetros globais. No entanto, o seu rendimento é complementado com a sua produção e você também terá pontos de vitória de muitas outras fontes.No tabuleiro de jogo você compete para obter os melhores lugares para seus tiles de cidade, tiles de oceano e tiles de vegetação. Você também compete por diferentes marcos e prêmios no valor de muitos pontos de vitória.Cada rodada é chamada de geração e consiste nas seguintes fases:1) mudança de ordem do Jogador2) Fase de Pesquisa - todos os jogadores adquirem cartas das 4 abertas previamente.3) Fase de Ação - os jogadores se revezam fazendo 1 ou 2 ações.Ações: * jogar uma carta, * reivindicar marcos, * financiar prêmios, * usar um projeto padrão, * converter plantas em tiles de vegetação (melhorando assim o oxigênio), * converter calor em um aumento de temperatura, e * usar a ação de uma carta em jogo.A rodada continua até que todos os jogadores passem (não fazendo ações).4) Fase de produção - onde você obtém recursos de acordo com sua classificação de terraformação e parâmetros de produção.Quando o processo de terraformação é completado, o jogo termina depois da ""geração"", e são contados os pontos de vitória para ver quem ganhou.**************************************************************************Vencedor do Prêmio Ludopedia Jogo Expert do Ano 2017 - Voto PopularIndicado ao Prêmio Ludopedia Jogo Expert do Ano 2017**************************************************************************LUDOSTORER$ 277,45 (no boleto)Comprar  Editora NacionalMeeple BR JogosStatus Nacional Lançado (Junho/2017)     Dependência de Idioma Moderado, precisa de uma planilha traduzida ou cartas traduzidas. DomíniosJogos Expert MecânicasGestão de Mão, Colocação de Peças, Jogadores com Diferentes Habilidades, Seleção de Cartas, Colecionar ComponentesCategoriasJogo de Cartas TemasFicção Científica, Meio Ambiente, Economia / Produção, Ciências"
0;4;"2012";"Idade  14 + ";"100 min";"2 a 5 jogadores ";"Jens Drögemüller";"Dennis Lohausen";"Grok Games";"3003";"2877";"504";"978";"Em Terra Mystica habitam 14 povos diferentes em sete paisagens, e cada grupo é ligado ao seu ambiente natal de modo a desenvolver e crescer, devendo transformar as paisagens vizinhas em seus ambientes na competição com os outros grupos.Terra Mystica é um jogo com pouca sorte que premia planejamento estratégico. Cada jogador controla um dos 14 grupos. Com sutileza, o jogador deve tentar governar uma área tão grande quanto possível e desenvolver habilidades desse grupo. Há também quatro cultos religiosos em que o jogador pode progredir. Para fazer tudo isso, cada grupo tem as competências e habilidades especiais.Revezando, os jogadores executam suas ações sobre os recursos que têm à sua disposição. Edifícios diferentes permitem que os jogadores desenvolvam diferentes recursos. Habitações permitem mais trabalhadores. Casas comerciais permitem que os jogadores façam dinheiro. Templos permitem que o jogador desenvolva a religião e suas habilidades de transformação da terra.Edifícios podem ser atualizados: habitações podem ser desenvolvidas em casas comerciais; casas comerciais podem virar fortalezas e templos, um templo pode ser atualizado para se tornar um santuário.A proximidade com outros grupos é uma espada de dois gumes na Terra Mística. Estar perto de outros grupos lhe dá poder extra, mas isso também significa que a expansão é mais difícil e competitiva.**************************************************************************Vencedor do Prêmio Ludopedia Jogo do Ano 2016Vencedor do Prêmio Ludopedia Jogo do Ano Escolha do Público 2016**************************************************************************LUDOSTORER$ 161,34 (no boleto)Comprar  Editora NacionalGrok GamesStatus Nacional Lançado (Junho/2016)     Dependência de Idioma Nenhuma DomíniosJogos Expert MecânicasJogadores com Diferentes Habilidades, Construção de Rotas, Controle/Influência de Área, Ordem de Fases VariávelCategoriasJogo Assimétrico TemasEconomia / Produção, Fantasia, Civilização"
0;5;"2018";"Idade  14 + ";"120 min";"2 a 4 jogadores ";"Gavan Brown";"Lina Cossette";"Conclave Editora";"1459";"1721";"124";"273";"Jogo econômico de estratégia e sequência para a obra prima de Martin Wallace, de 2007.  O jogo conta a história de empreendedores concorrentes em Birmingham durante a revolução industrial, entre os anos de 1770-1870.Como em seu predecessor, você deve desenvolver, construir e estabelecer suas indústrias e redes ferroviárias, explorando as demandas de mercado e suas oscilações. Além das cinco ações básicas do jogo original - construir, desenvolver, criar rede ferroviária, vender e pegar empréstimo - acrescenta uma sexta ação: explorar - descartando três cartas, pegar uma carta coringa de locação ou indústria.**************************************************************************Vencedor do Prêmio Ludopedia Jogo Expert do Ano 2019Vencedor do Prêmio Ludopedia Jogo Expert do Ano 2019 - Voto Popular*Ganhador do selo De Quem é A Vez Incrível 2022* (24/01/2022)**************************************************************************LUDOSTORER$ 478,00 (no boleto)Comprar  Editora NacionalConclave EditoraStatus Nacional Lançado (Setembro/2019)     Dependência de Idioma Nenhuma DomíniosJogos Expert MecânicasConstrução de Rotas, Gestão de MãoCategoriasTemasEconomia / Produção, Transportes"
0;6;"2017";"Idade  13 + ";"180 min";"2 a 4 jogadores ";"Martin Wallace";"Lina Cossette";"Conclave Editora";"903";"778";"146";"175";"Brass: Lancashire - publicado pela primeira vez como Brass - é um jogo de estratégia econômica que conta a história de empresários de algodão concorrentes em Lancashire durante a revolução industrial. Você deve desenvolver, construir e estabelecer suas indústrias e rede para que você possa capitalizar a demanda por ferro, carvão e algodão. O jogo é jogado em duas metades: a fase do canal e a fase do trilho. Para ganhar o jogo, você deve pontuar a maioria dos pontos de vitória (VPs), que são contados no final de cada metade. VPs são adquiridos a partir de seus canais, trilhos, e indústrias estabelecidas.Brass: Lancashire, a edição de 2017 da Roxley Games, reinicia a edição original do jogo Brass da Warfrog com novas artes e componentes, bem como algumas mudanças nas regras:- As regras de link virtual entre Birkenhead foram removidas.- A experiência de três jogadores foi aproximada da experiência ideal de quatro jogadores, encurtando cada metade do jogo por uma rodada e ajustando o deck ligeiramente para garantir uma experiência consistente.- Regras para 2 jogadores foram criadas e são jogáveis sem a necessidade de um tabuleiro alternativo.- O moinho de algodão de nível 1 agora vale 5 VP para torná-lo menos terrível.LUDOSTORER$ 520,00 (no boleto)Comprar  Editora NacionalConclave EditoraStatus Nacional Lançado (Setembro/2019)     Dependência de Idioma Nenhuma DomíniosJogos Expert MecânicasConstrução de Rotas, Gestão de MãoCategoriasTemasEconomia / Produção, Transportes"
0;7;"2017";"Idade  14 + ";"480 min";"3 a 6 jogadores ";"Christian T. Petersen";"Scott Schomburg";"Galápagos";"816";"1161";"99";"211";"Twilight Imperium (Fourth Edition) é um jogo de conquista galática no qual três a seis jogadores assumem o papel de uma entre dezessete facções competindo pela dominação galática através de poderio militar, manobra política, e barganha econômica. Cada facção oferece uma experiência de jogo completamente diferente, desde os saltadores de wormholes Fantasmas de Creuss até os Emirados de Hacan, mestres do comércio e economia. A essas dezessete raças são oferecidas diversos caminhos para a vitória, mas apenas uma pode sentar no trono de Mecatol Rex como os novos mestres da galáxia.Nunca dois jogos de Twilight Imperium serão idênticos. No começo de cada era galática, o tabuleiro de jogo é unica e estrategicamente construído utilizando 51 tiles de galáxias que abrangem tudo desde exuberantes novos planetas e supernovas até campos de asteroides e fendas de gravidade. Jogadores recebem uma mão desses tiles e se revezam criando a galáxia em torno de Mecatol Rex, o planeta capital, disposto no centro do tabuleiro.  Uma tempestade de ion pode bloquear o progresso de sua raça através da galáxia enquanto uma fenda de gravidade fortuitamente colocada pode protegê-lo de seus inimigos mais próximos. A galáxia é sua tanto para forjar como dominar.Uma rodada de Twilight Imperium começa com jogadores escolhendo uma entre oito cartas estratégicas que determinarão tanto a ordem de jogo como fornecerão a seu dono uma ação estratégica única para aquela rodada. Essas podem fazer qualquer coisa desde prover tokens de comando adicionais até permitir que um jogador controle o comércio em toda a galáxia. Depois de selecionadas essas funções, os jogadores se revezam em turno movendo suas frotas de sistema a sistema, reivindicando novos planetas para seus impérios, e envolvendo-se em guerras e comércio com outras facções. Ao final do turno, os jogadores se reúnem em um grande conselho para aprovar novas leis e ordens, sacudindo o jogo de maneiras imprevisíveis.Após todos os jogadores passarem sua vez, os jogadores avançam na trilha de vitória, checando se completaram algum objetivo ao longo do turno e pontuando. Objetivos são determinados configurando dez cartas de objetivo público no começo de cada partida, depois gradualmente revelando-os a cada rodada. Cada jogador também escolhe entre dois objetivos secretos aleatórios no começo do jogo, provendo pontos de vitória alcançáveis apenas para o detentor daquele objetivo. Tais objetivos podem ser qualquer coisa desde pesquisar novas tecnologias até tomar o sistema natal de um vizinho. Ao final de cada turno, um jogador pode reivindicar um objetivo público e um objetivo secreto. Conforme o jogo continua, mais desses objetivos são revelados e mais objetivos secretos são distribuídos, dando aos jogadores metas dinamicamente em mudança ao longo da partida. O jogo continua até que um jogador atinja dez pontos de vitória.**************************************************************************Indicado ao Prêmio Ludopedia Jogo Expert do Ano 2019Indicado ao Prêmio Ludopedia Jogo Expert do Ano 2019 - Voto Popular**************************************************************************LUDOSTORER$ 763,00 (no boleto)Comprar  Editora NacionalGalápagosStatus Nacional Lançado (Janeiro/2019)     Dependência de Idioma Extenso. Precisa de uma tradução quase completa para ser jogado. DomíniosJogos Expert MecânicasMovimento de Área, Gestão de Mão, Jogadores com Diferentes Habilidades, Marcadores e Hexágonos, Negociação, Ordem de Fases Variável, Rolagem de Dados, Sistema de Pontos de Ação, Tabuleiro Modular, Votação, Impulso de Área, Controle/Influência de ÁreaCategorias4x TemasFicção Científica, Política, Economia / Produção"
0;8;"2018";"Idade  14 + ";"150 min";"1 a 5 jogadores ";"Vlaada Chvátil";"J. Lonnee";"Galápagos";"713";"1220";"122";"169";"Combinando elementos de RPG, construção de baralhos e jogos de tabuleiro tradicionais, Mage Knight Board Game coloca você no controle de um dos quatro poderosos Mage Knights enquanto explora (e conquista) um canto do universo Mage Knight sob o controle do Império Atlante. Construa seu exército, encha seu baralho com magias e ações poderosas, explore cavernas e masmorras e, eventualmente, conquiste cidades poderosas controladas por essa grande facção! Em cenários competitivos, os jogadores opostos podem ser poderosos aliados, mas apenas um poderá reivindicar a terra como sua. Em cenários cooperativos, os jogadores ganham ou perdem como um grupo. Regras individuais também estão incluídas.The Ultimate Edition inclui o jogo base original mais as três expansões: The Lost Legion, Krang e Shades of Tezla. Possui um texto integrado abrangente, 5 cartas totalmente novas e arte alternativa.LUDOSTORER$ 1.143,00 (no boleto)Comprar  Editora NacionalGalápagosStatus Nacional Lançado (Junho/2019)     Dependência de Idioma Extenso. Precisa de uma tradução quase completa para ser jogado. DomíniosJogos Expert MecânicasColocação de Peças, Construção de Baralho/Peças, Cooperativo, Gestão de Mão, Jogadores com Diferentes Habilidades, Movimento em Grades, Rolagem de Dados, RPG, Seleção de Cartas, Tabuleiro ModularCategoriasMiniaturas TemasAventura, Luta / Artes Marciais, Fantasia"
0;9;"2016";"Idade  14 + ";"240 min";"2 a 4 jogadores ";"Corey Konieczka";"Matt Allsopp";"Galápagos";"1464";"1459";"201";"281";"Experimente a Guerra Civil Galática como nunca antes. Em Star Wars: Rebellion, você controla todo o Império Galático ou a Aliança Rebelde. Você precisa comandar naves espaciais, considerar movimentação de tropas, e agrupar sistemas para sua causa. Dadas as diferenças entre o Império e a Aliança Rebelde, cada lado tem diferentes condições de vitória, e será necessário adaptar o estilo de jogo dependendo de quem você irá representar:- Jogando como o Império, você pode comandar legiões de stormtroopers, enxames de TIEs, Destróiers Estelares, e até mesmo a Estrela da Morte. Você governa a Galáxia pelo medo, confiando no poder de seu massivo exército para reforçar sua vontade. Para vencer o jogo, precisará exterminar a formação da Aliança Rebelde encontrando suas bases e destruindo-as. No caminho, você pode subjugar mundos ou até mesmo destruí-los.- Jogando com os Rebeldes, você pode comandar dezenas de troopers, T-47 Airspeeders, Corvetas Corelianas e esquadrões de caças. Entretanto, estas forças não são páreas para o poderio militar do Império. Em termos de força bruta, você se encontra claramente subjugado desde o início, portanto você precisa fazer com que planetas juntem-se a sua causa e execute ataques militares cirúrgicos para sabotarem estaleiros imperiais e roubar valiosas informações. Para vencer a Guerra Civil Galática, você precisa balançar os cidadãos galáticos para sua causa. Se sobreviver por tempo suficiente e fortalecer sua reputação, você irá inspirar a galáxia para uma revolta de escala galática, então você vencerá.Apresentando mais de 150 miniaturas de plástico e dois tabuleiros que contam com os 32 sistemas mais notados na galáxia de Star Wars, Rebellion apresenta uma extensão que é maior e mais extensa do que qualquer outro jogo de Star Wars anterior.No entanto, por toda sua grandiosidade, Rebellion mantém-se intensamente pessoal, cinemático e heroico. Por mais que seu sucesso dependa da força de suas naves estelares, veículos e tropas, ele depende do esforço individual de personagens notáveis como Leia Organa, Mon Mothma, Grand Moff Tarkin e o Imperador Palpatine. Enquanto a guerra civil se espalha pela galáxia, estes líderes são inestimáveis para seus esforços, e as missões secretas que eles executam evocarão muitos dos momentos mais inspiradores da trilogia clássica. Você pode enviar Luke Skywalker para receber treinamento Jedi em Dagobah ou ter Darth Vader fazendo uma armadilha para prender Han Solo em carbonite!LUDOSTORER$ 472,30 (no boleto)Comprar  Editora NacionalGalápagosStatus Nacional Lançado (Outubro/2018)     Dependência de Idioma Extenso. Precisa de uma tradução quase completa para ser jogado. DomíniosJogos Expert MecânicasMovimento de Área, Rolagem de Dados, Controle/Influência de Área, Gestão de Mão, Posicionamento Secreto, Jogadores com Diferentes Habilidades, Impulso de ÁreaCategoriasJogo de Guerra, Jogo Assimétrico TemasFicção Científica, Cultura Pop ou Geek"
0;10;"2015";"Idade  10 + ";"30 min";"2 jogadores ";"Antoine Bauza";"Miguel Coimbra";"Galápagos";"4722";"1854";"432";"699";"De muitas maneiras 7 Wonders: Duel lembra seu pai 7 Wonders onde mais de três jogadores adquirem cartas que fornecem recursos ou avançam suas forças armadas e avanços científicos, a fim de desenvolver uma civilização e completar.O que é diferente sobre 7 Wonders: Duel é que, como o título sugere, o jogo é apenas para dois jogadores, com os jogadores não selecionando cartas simultaneamente de suas mãos, mas a partir de uma exposição de cartas com a face para baixo e cartas viradas para cima organizadas no início de uma partida. Um jogador pode pegar uma carta somente se ela não estiver coberta por qualquer outra carta. Alguns movimentos de bônus permitem pegar a segunda carta imediatamente. Como no jogo original, cada carta que você adquire pode ser construída, descartada por três moedas, ou usada para construir uma maravilha.Cada jogador tem 4 maravilhas na mão, mas como só podem ser construídas 7, não tem como os dois construírem todas suas maravilhas, uma sempre vai ficar pra trás.Os jogadores podem comprar recursos em qualquer momento a partir do banco, ou eles podem ganhar cartas durante o jogo que fornecem recursos para a construção futura; enquanto você adquire recursos, o custo para esses recursos particulares aumenta para o seu adversário, o que representa a sua posição dominante nesta área.Um jogador pode ganhar em 7 Wonders: Duel de três maneiras. Cada vez que você adquirir uma carta militar, você avança o marcador militar em direção a capital do seu oponente, dando-lhe um bônus em certas posições. Se você chegar a capital do oponente, você ganha o jogo imediatamente. Da mesma forma, se você adquirir todos os seis símbolos científicos diferentes, você alcança o domínio científico e ganha imediatamente. Se nenhuma destas situações ocorrer, ganha o jogador com mais pontos no final do jogo.**************************************************************************Indicado ao Prêmio Ludopedia Jogo Expert do Ano 2017Indicado ao Prêmio Ludopedia Jogo Expert do Ano 2017 - Voto Popular**************************************************************************LUDOSTORER$ 214,11 (no boleto)Comprar  Editora NacionalGalápagosStatus Nacional Lançado (Março/2017)     Dependência de Idioma Nenhuma DomíniosJogos Expert MecânicasColecionar Componentes, Seleção de CartasCategoriasJogo de Cartas TemasHistória, Civilização"
