"id";"gameRank";"gameName";"notaRank";"notaMedia";"qtNotas";"url"
"1";"1º";"Brass: Birmingham";9.04;9.16;1019;"https://ludopedia.com.br/jogo/brass-birmingham"
"2";"2º";"Projeto Gaia";9.02;9.11;1207;"https://ludopedia.com.br/jogo/gaia-project"
"3";"3º";"Terraforming Mars";9.0;9.04;2946;"https://ludopedia.com.br/jogo/terraforming-mars"
"4";"4º";"Gloomhaven";8.99;9.1;1002;"https://ludopedia.com.br/jogo/gloomhaven"
"5";"5º";"Terra Mystica";8.99;9.03;2492;"https://ludopedia.com.br/jogo/terra-mystica"
"6";"6º";"Brass: Lancashire";8.96;9.14;599;"https://ludopedia.com.br/jogo/brass-lancashire"
"7";"7º";"Gloomhaven: Presas do Leão";8.94;9.25;355;"https://ludopedia.com.br/jogo/gloomhaven-jaws-of-the-lion"
"8";"8º";"Twilight Imperium (4ª Edição)";8.94;9.13;558;"https://ludopedia.com.br/jogo/twilight-imperium-fourth-edition"
"9";"9º";"Great Western Trail: 2ª Edição";8.89;9.16;408;"https://ludopedia.com.br/jogo/great-western-trail-second-edition"
"10";"10º";"Star Wars: Rebellion";8.89;9.02;805;"https://ludopedia.com.br/jogo/star-wars-rebellion"
"11";"11º";"7 Wonders Duel";8.87;8.91;3002;"https://ludopedia.com.br/jogo/7-wonders-duel"
"12";"12º";"Mage Knight: Edição Definitiva";8.87;9.1;462;"https://ludopedia.com.br/jogo/mage-knight-ultimate-edition"
"13";"13º";"Great Western Trail";8.85;8.92;1443;"https://ludopedia.com.br/jogo/great-western-trail"
"14";"14º";"Puerto Rico";8.84;8.87;3272;"https://ludopedia.com.br/jogo/puerto-rico"
"15";"15º";"The Castles of Burgundy";8.84;8.89;1878;"https://ludopedia.com.br/jogo/the-castles-of-burgundy"
"16";"16º";"Clãs da Caledônia";8.82;8.91;1167;"https://ludopedia.com.br/jogo/clans-of-caledonia"
"17";"17º";"O Senhor dos Anéis: Jornadas na Terra Média";8.82;8.93;929;"https://ludopedia.com.br/jogo/the-lord-of-the-rings-journeys-in-middle-earth"
"18";"18º";"Wingspan";8.79;8.85;1865;"https://ludopedia.com.br/jogo/wingspan"
"19";"19º";"Twilight Struggle";8.78;8.87;1164;"https://ludopedia.com.br/jogo/twilight-struggle"
"20";"20º";"Lisboa";8.77;8.91;742;"https://ludopedia.com.br/jogo/lisboa"
"21";"21º";"Um Banquete a Odin";8.77;8.88;869;"https://ludopedia.com.br/jogo/a-feast-for-odin"
"22";"22º";"Duna: Imperium";8.76;8.96;507;"https://ludopedia.com.br/jogo/dune-imperium"
"23";"23º";"Scythe";8.75;8.81;1801;"https://ludopedia.com.br/jogo/scythe"
"24";"24º";"Root";8.74;8.82;1242;"https://ludopedia.com.br/jogo/root"
"25";"25º";"Guerra do Anel (Segunda Edição)";8.74;8.93;542;"https://ludopedia.com.br/jogo/war-of-the-ring-second-edition"
"26";"26º";"Spirit Island";8.73;8.87;699;"https://ludopedia.com.br/jogo/spirit-island"
"27";"27º";"Five Tribes";8.72;8.77;1768;"https://ludopedia.com.br/jogo/five-tribes"
"28";"28º";"Mansions of Madness (2ª Edição)";8.71;8.77;1806;"https://ludopedia.com.br/jogo/mansions-of-madness-second-edition"
"29";"29º";"Through The Ages: Uma Nova História da Civilização";8.7;8.82;811;"https://ludopedia.com.br/jogo/through-the-ages-a-new-story-of-civilization"
"30";"30º";"Pandemic Legacy: 1ª Temporada";8.69;8.84;696;"https://ludopedia.com.br/jogo/pandemic-legacy-season-1"
"31";"31º";"Mage Knight Board Game";8.66;8.83;618;"https://ludopedia.com.br/jogo/mage-knight-board-game"
