"index";"bg_Artist"
0;"Josh Cappel"
0;"Christian Hanisch"
0;"Rgis Moulun"
0;"Chris Quilliams"
0;"Tom Thiel"
1;"Marcel Grber"
1;"Doris Matthus"
1;"Anne Ptzke"
1;"FranzGeorg Stmmele"
1;"KlausJrgen Wrede"
2;"Volkan Baga"
2;"Tanja Donner"
2;"Pete Fenlon"
2;"Jason Hawkins"
2;"Michaela Kienle"
2;"Harald Lieske"
2;"Michael Menzel"
2;"Marion Pott"
2;"Matt Schwabel"
2;"Franz Vohwinkel"
2;"Stephen Graham Walsh"
3;"Dimitri Chappuis"
3;"Miguel Coimbra"
3;"Etienne Hebinger"
3;"Cyril Nouvel"
4;"Matthias Catrein"
4;"Julien Delval"
4;"Tomasz Jedruszek"
4;"Ryan Laukat"
4;"MarcelAndr Casasola Merkle"
4;"Claus Stephan"
4;"Christof Tisch"
5;"Isaac Fryxelius"
6;"Cyrille Daujean"
7;"Stphane Gantiez"
7;"Tom Kuerovsk"
7;"Filip Murmak"
9;"Philippe Gurin"
10;"Jakub Rozalski"
11;"Pascal Quidault"
11;"Abbas Amirabadi"
11;"Mahmoud Arasteh Nasab"
12;"Klemens Franz"
16;"Ana Maria Martinez Jaramillo"
16;"Natalia Rojas"
16;"Greg May"
16;"Beth Sobel"
17;"Gabriel Butik"
17;"Romain Gaschet"
17;"Paul Mafayon"
17;"Igor Polouchine"
17;"Benjamin Raynal"
17;"JeanBaptiste Reynaud"
17;"Jonathan Silvestre"
17;"Rgis Torres"
17;"Anthony Wolff"
18;"Kali Fitzgerald"
18;"Andrew Hepworth"
18;"Jeff Himmelman"
18;"John Kovalic"
18;"Nina Matsumoto"
18;"Robb Miller"
18;"Ken Niimura"
18;"Noboru Sugiura"
18;"Yating Sun"
18;"Tanaka Hirotaka"
19;"Domonkos Bence"
19;"Antonio Dessi"
19;"LarsArne Maura Kalusky"
19;"Prapach Lapamnuaysap"
20;"Marie Cardouat"
21;"Rex Lee"
21;"Jolanta Lendzioszek"
21;"Gru Tsow"
23;"Alexandr Elichev"
23;"Josh T McDowell"
23;"Alvaro Nebot"
24;"Jesper Ejsing"
24;"Bruno Faidutti"
24;"Didier Graffet"
24;"Bjarne Hansen"
24;"Darrell Hardy"
24;"Florence Magnin"
24;"JeanLouis Mourier"
24;"Scott Nicely"
24;"Hassan Nozadian"
24;"Christian T Petersen"
24;"Brian Schomburg"
24;"Richard Spicer"
25;"Martin Hoffmann"
25;"Mirko Suzuki"
26;"Eric Belisle"
26;"Steven Belledin"
26;"Zoltan Boros"
26;"Noah Bradley"
26;"Eric Deschamps"
26;"Wayne England"
26;"Tony Foti"
26;"Todd Harris"
26;"Ralph Horsley"
26;"Tyler Jacobson"
26;"Ron Lemen"
26;"Howard Lyon"
26;"Warren Mahy"
26;"Patrick McEvoy"
26;"Jim Nelson"
26;"William OConnor"
26;"Adam Paquette"
26;"Lucio Parrillo"
26;"Dave Rapoza"
26;"Richard Sardinha"
26;"Mike Schley"
26;"Andrew Silver"
26;"Anne Stokes"
26;"Gbor Szikszai"
26;"Matias Tapia"
26;"Kevin Walker"
26;"Tyler Walpole"
26;"Eva Widermann"
26;"Eric Williams I"
26;"Matt Wilson I"
26;"Sam Wood"
26;"Ben Wootten"
26;"James Zhang"
29;"C B Canga"
30;"Alex Fernandez I"
